nama_channel,kategori,judul,judul_clean,judul_lower,judul_tokenized
@GadgetIn,Gadgets,Ketika Xiaomi MENDINGIN iPhone... Xiaomi 17 PRO MAX!,Ketika Xiaomi MENDINGIN iPhone... Xiaomi 17 PRO MAX!,ketika xiaomi mendingin iphone... xiaomi 17 pro max!,ketika xiaomi mendingin iphone . . . xiaomi 17 pro max !
@GadgetIn,Gadgets,Ketika David lagi nggak disini...,Ketika David lagi nggak disini...,ketika david lagi nggak disini...,ketika david lagi nggak disini . . .
@GadgetIn,Gadgets,Berapa kali bilang KEREN di video ini?? Unboxing HP SPECIAL EDITION realme 15 Pro X Game of Thrones!,Berapa kali bilang KEREN di video ini?? Unboxing HP SPECIAL EDITION realme 15 Pro X Game of Thrones!,berapa kali bilang keren di video ini?? unboxing hp special edition realme 15 pro x game of thrones!,berapa kali bilang keren di video ini ? ? unboxing hp special edition realme 15 pro x game of thrones !
@GadgetIn,Gadgets,Rp4.999 JUTA! Unboxing realme 15 5G Indonesia.,Rp4.999 JUTA! Unboxing realme 15 5G Indonesia.,rp4.999 juta! unboxing realme 15 5g indonesia.,rp4.999 juta ! unboxing realme 15 5g indonesia .
@GadgetIn,Gadgets,Mid range serba solid - Review realme 15 Pro Indonesia!,Mid range serba solid - Review realme 15 Pro Indonesia!,mid range serba solid - review realme 15 pro indonesia!,mid range serba solid - review realme 15 pro indonesia !
@GadgetIn,Gadgets,Selalu jadi rekomendasi No.1 - Huawei Watch GT 6 Pro,Selalu jadi rekomendasi No.1 - Huawei Watch GT 6 Pro,selalu jadi rekomendasi no.1 - huawei watch gt 6 pro,selalu jadi rekomendasi no.1 - huawei watch gt 6 pro
@GadgetIn,Gadgets,"Rp4,999 JUTA pengen kayak iPhone - Unboxing vivo V60 Lite Indonesia!","Rp4,999 JUTA pengen kayak iPhone - Unboxing vivo V60 Lite Indonesia!","rp4,999 juta pengen kayak iphone - unboxing vivo v60 lite indonesia!","rp4,999 juta pengen kayak iphone - unboxing vivo v60 lite indonesia !"
@GadgetIn,Gadgets,Flagship lain kerasa pelit... Review Xiaomi 15T Pro Indonesia!,Flagship lain kerasa pelit... Review Xiaomi 15T Pro Indonesia!,flagship lain kerasa pelit... review xiaomi 15t pro indonesia!,flagship lain kerasa pelit . . . review xiaomi 15t pro indonesia !
@GadgetIn,Gadgets,APAAN SIH INI!? Unboxing Itel Super 26 ULTRA Indonesia.,APAAN SIH INI!? Unboxing Itel Super 26 ULTRA Indonesia.,apaan sih ini!? unboxing itel super 26 ultra indonesia.,apaan sih ini ! ? unboxing itel super 26 ultra indonesia .
@GadgetIn,Gadgets,Unboxing + tes fitur baru iPhone 17 & iPhone 17 Pro!,Unboxing + tes fitur baru iPhone 17 iPhone 17 Pro!,unboxing + tes fitur baru iphone 17 iphone 17 pro!,unboxing + tes fitur baru iphone 17 iphone 17 pro !
@GadgetIn,Gadgets,"2,099 Juta bukan HP main main - Unboxing Redmi 15 Indonesia!","2,099 Juta bukan HP main main - Unboxing Redmi 15 Indonesia!","2,099 juta bukan hp main main - unboxing redmi 15 indonesia!","2,099 juta bukan hp main main - unboxing redmi 15 indonesia !"
@GadgetIn,Gadgets,"""Flagship Ekonomis"" Samsung yang selalu populer - Galaxy S25 FE Indonesia!","""Flagship Ekonomis"" Samsung yang selalu populer - Galaxy S25 FE Indonesia!","""flagship ekonomis"" samsung yang selalu populer - galaxy s25 fe indonesia!",""" flagship ekonomis "" samsung yang selalu populer - galaxy s25 fe indonesia !"
@GadgetIn,Gadgets,Buktiin KAMERA HP TERBAIK DI DUNIA - HUAWEI Pura 80 Ultra!,Buktiin KAMERA HP TERBAIK DI DUNIA - HUAWEI Pura 80 Ultra!,buktiin kamera hp terbaik di dunia - huawei pura 80 ultra!,buktiin kamera hp terbaik di dunia - huawei pura 80 ultra !
@GadgetIn,Gadgets,"AKHIRNYA, APPLE! iPhone 17 kali ini bikin senyum2...","AKHIRNYA, APPLE! iPhone 17 kali ini bikin senyum2...","akhirnya, apple! iphone 17 kali ini bikin senyum2...","akhirnya , apple ! iphone 17 kali ini bikin senyum2 . . ."
@GadgetIn,Gadgets,"Sejak ditinggal, malah makin cantik aja...","Sejak ditinggal, malah makin cantik aja...","sejak ditinggal, malah makin cantik aja...","sejak ditinggal , malah makin cantik aja . . ."
@GadgetIn,Gadgets,Samsung Rp1.3 JUTA spek rasa 2jutaan 😦 - Review Galaxy A07 Indonesia.,Samsung Rp1.3 JUTA spek rasa 2jutaan - Review Galaxy A07 Indonesia.,samsung rp1.3 juta spek rasa 2jutaan - review galaxy a07 indonesia.,samsung rp1.3 juta spek rasa 2jutaan - review galaxy a07 indonesia .
@GadgetIn,Gadgets,Level vivo V60 ini... beda dari yang udah udah.,Level vivo V60 ini... beda dari yang udah udah.,level vivo v60 ini... beda dari yang udah udah.,level vivo v60 ini . . . beda dari yang udah udah .
@GadgetIn,Gadgets,1.5 JUTAAN! Unboxing Redmi 15C Indonesia,1.5 JUTAAN! Unboxing Redmi 15C Indonesia,1.5 jutaan! unboxing redmi 15c indonesia,1.5 jutaan ! unboxing redmi 15c indonesia
@GadgetIn,Gadgets,HP 2 Jutaan pemegang REKOR DUNIA - Infinix HOT 60 Pro+,HP 2 Jutaan pemegang REKOR DUNIA - Infinix HOT 60 Pro+,hp 2 jutaan pemegang rekor dunia - infinix hot 60 pro+,hp 2 jutaan pemegang rekor dunia - infinix hot 60 pro+
@GadgetIn,Gadgets,Saya pindah ke HP Samsung.,Saya pindah ke HP Samsung.,saya pindah ke hp samsung.,saya pindah ke hp samsung .
@GadgetIn,Gadgets,Jenis TV yang MUDAH SAYA REKOMENDASIKAN - TCL QD-Mini LED C6K,Jenis TV yang MUDAH SAYA REKOMENDASIKAN - TCL QD-Mini LED C6K,jenis tv yang mudah saya rekomendasikan - tcl qd-mini led c6k,jenis tv yang mudah saya rekomendasikan - tcl qd-mini led c6k
@GadgetIn,Gadgets,Jajanin istri HP cantik ❤️- Galaxy Z Flip7 Indonesia!,Jajanin istri HP cantik - Galaxy Z Flip7 Indonesia!,jajanin istri hp cantik - galaxy z flip7 indonesia!,jajanin istri hp cantik - galaxy z flip7 indonesia !
@GadgetIn,Gadgets,"2,199 JUTA pun udah SECANTIK INI 🥲 - Unboxing Infinix HOT 60 PRO Indonesia!","2,199 JUTA pun udah SECANTIK INI - Unboxing Infinix HOT 60 PRO Indonesia!","2,199 juta pun udah secantik ini - unboxing infinix hot 60 pro indonesia!","2,199 juta pun udah secantik ini - unboxing infinix hot 60 pro indonesia !"
@GadgetIn,Gadgets,HP paling bersejarah di channel ini ❤️,HP paling bersejarah di channel ini,hp paling bersejarah di channel ini,hp paling bersejarah di channel ini
@GadgetIn,Gadgets,"Maaf, Motorola emang BEDA 🙏🏻","Maaf, Motorola emang BEDA","maaf, motorola emang beda","maaf , motorola emang beda"
@GadgetIn,Gadgets,Alasan saya SUKA dengan brand HP satu ini...,Alasan saya SUKA dengan brand HP satu ini...,alasan saya suka dengan brand hp satu ini...,alasan saya suka dengan brand hp satu ini . . .
@GadgetIn,Gadgets,"Kalau OPPO udah serius MEMASAK, Reno 14 Pro 5G pun bisa sebagus ini…","Kalau OPPO udah serius MEMASAK, Reno 14 Pro 5G pun bisa sebagus ini","kalau oppo udah serius memasak, reno 14 pro 5g pun bisa sebagus ini","kalau oppo udah serius memasak , reno 14 pro 5g pun bisa sebagus ini"
@GadgetIn,Gadgets,Terlalu bagus buat sebuah HP 3 JUTA...,Terlalu bagus buat sebuah HP 3 JUTA...,terlalu bagus buat sebuah hp 3 juta...,terlalu bagus buat sebuah hp 3 juta . . .
@GadgetIn,Gadgets,BIUTIFUL! AMAZING! Ini upgrade yang saya tunggu dari Z Fold7 dan Flip7 😭,BIUTIFUL! AMAZING! Ini upgrade yang saya tunggu dari Z Fold7 dan Flip7,biutiful! amazing! ini upgrade yang saya tunggu dari z fold7 dan flip7,biutiful ! amazing ! ini upgrade yang saya tunggu dari z fold7 dan flip7
@GadgetIn,Gadgets,Tablet Rp2 JUTA udah semantab ini...?! Review Redmi Pad 2 Indonesia!,Tablet Rp2 JUTA udah semantab ini...?! Review Redmi Pad 2 Indonesia!,tablet rp2 juta udah semantab ini...?! review redmi pad 2 indonesia!,tablet rp2 juta udah semantab ini . . . ? ! review redmi pad 2 indonesia !
@GadgetIn,Gadgets,"Kondangan panas, jadi saya beli kipas mini 20ribu - 1 JUTA!","Kondangan panas, jadi saya beli kipas mini 20ribu - 1 JUTA!","kondangan panas, jadi saya beli kipas mini 20ribu - 1 juta!","kondangan panas , jadi saya beli kipas mini 20ribu - 1 juta !"
@GadgetIn,Gadgets,"BADAK 2,3 JUTA! Unboxing TECNO POVA 7 Indonesia!","BADAK 2,3 JUTA! Unboxing TECNO POVA 7 Indonesia!","badak 2,3 juta! unboxing tecno pova 7 indonesia!","badak 2,3 juta ! unboxing tecno pova 7 indonesia !"
@GadgetIn,Gadgets,Jangan meragukan SANG RAJA! - Review POCO F7 Indonesia!,Jangan meragukan SANG RAJA! - Review POCO F7 Indonesia!,jangan meragukan sang raja! - review poco f7 indonesia!,jangan meragukan sang raja ! - review poco f7 indonesia !
@GadgetIn,Gadgets,Ribuan orang minta saya bahas HP LOKAL ini... Advan X1,Ribuan orang minta saya bahas HP LOKAL ini... Advan X1,ribuan orang minta saya bahas hp lokal ini... advan x1,ribuan orang minta saya bahas hp lokal ini . . . advan x1
@GadgetIn,Gadgets,HP Murah udah bisa sebagus ini 😳 - Unboxing itel City 100 Indonesia!,HP Murah udah bisa sebagus ini - Unboxing itel City 100 Indonesia!,hp murah udah bisa sebagus ini - unboxing itel city 100 indonesia!,hp murah udah bisa sebagus ini - unboxing itel city 100 indonesia !
@GadgetIn,Gadgets,Kenapa HP PALING MURAH Xiaomi malah seganteng ini...? - Unboxing Redmi A5 Indonesia!,Kenapa HP PALING MURAH Xiaomi malah seganteng ini...? - Unboxing Redmi A5 Indonesia!,kenapa hp paling murah xiaomi malah seganteng ini...? - unboxing redmi a5 indonesia!,kenapa hp paling murah xiaomi malah seganteng ini . . . ? - unboxing redmi a5 indonesia !
@GadgetIn,Gadgets,Cara bikin cowok tersenyum 😊 - Unboxing & Gaming di Nintendo Switch 2!,Cara bikin cowok tersenyum - Unboxing Gaming di Nintendo Switch 2!,cara bikin cowok tersenyum - unboxing gaming di nintendo switch 2!,cara bikin cowok tersenyum - unboxing gaming di nintendo switch 2 !
@GadgetIn,Gadgets,Jarak 8 tahun bisa beda SEJAAAAAAUH ini... - Asus RoG Strix SCAR 16,Jarak 8 tahun bisa beda SEJAAAAAAUH ini... - Asus RoG Strix SCAR 16,jarak 8 tahun bisa beda sejaaaaaauh ini... - asus rog strix scar 16,jarak 8 tahun bisa beda sejaaaaaauh ini . . . - asus rog strix scar 16
@GadgetIn,Gadgets,HP Spesialis GAMING paling MURAH 🧐,HP Spesialis GAMING paling MURAH,hp spesialis gaming paling murah,hp spesialis gaming paling murah
@GadgetIn,Gadgets,"Harga 5 Jutaan, spek RASA FLAGSHIP - Review iQOO Neo 10 Indonesia!","Harga 5 Jutaan, spek RASA FLAGSHIP - Review iQOO Neo 10 Indonesia!","harga 5 jutaan, spek rasa flagship - review iqoo neo 10 indonesia!","harga 5 jutaan , spek rasa flagship - review iqoo neo 10 indonesia !"
@GadgetIn,Gadgets,Rp3 JUTAAN! HP dengan BATERE PALING GEDE di Indonesia!,Rp3 JUTAAN! HP dengan BATERE PALING GEDE di Indonesia!,rp3 jutaan! hp dengan batere paling gede di indonesia!,rp3 jutaan ! hp dengan batere paling gede di indonesia !
@GadgetIn,Gadgets,"HP ""Impian"" yang cuma ada 200 unit di Indonesia... realme GT 7 DREAM EDITION!","HP ""Impian"" yang cuma ada 200 unit di Indonesia... realme GT 7 DREAM EDITION!","hp ""impian"" yang cuma ada 200 unit di indonesia... realme gt 7 dream edition!","hp "" impian "" yang cuma ada 200 unit di indonesia . . . realme gt 7 dream edition !"
@GadgetIn,Gadgets,Ntah kenapa Editor senyum2 liat barang aneh ini... Ep.34.,Ntah kenapa Editor senyum2 liat barang aneh ini... Ep.34.,ntah kenapa editor senyum2 liat barang aneh ini... ep.34.,ntah kenapa editor senyum2 liat barang aneh ini . . . ep.34 .
@GadgetIn,Gadgets,Semua pada nungguin HP GAMING 4 Juta ini... Infinix GT 30 Pro!,Semua pada nungguin HP GAMING 4 Juta ini... Infinix GT 30 Pro!,semua pada nungguin hp gaming 4 juta ini... infinix gt 30 pro!,semua pada nungguin hp gaming 4 juta ini . . . infinix gt 30 pro !
@GadgetIn,Gadgets,Semua SUKA HP SEBADAK ini! Review realme GT 7 Indonesia!,Semua SUKA HP SEBADAK ini! Review realme GT 7 Indonesia!,semua suka hp sebadak ini! review realme gt 7 indonesia!,semua suka hp sebadak ini ! review realme gt 7 indonesia !
@GadgetIn,Gadgets,5 JUTAAN juga DIMASAK MOTOROLA 🔥 Unboxing 60 Edge Fusion Indonesia!,5 JUTAAN juga DIMASAK MOTOROLA Unboxing 60 Edge Fusion Indonesia!,5 jutaan juga dimasak motorola unboxing 60 edge fusion indonesia!,5 jutaan juga dimasak motorola unboxing 60 edge fusion indonesia !
@GadgetIn,Gadgets,Cari smartwatch 2-3 juta? Yang ini jelas rekomen 👌🏻,Cari smartwatch 2-3 juta? Yang ini jelas rekomen,cari smartwatch 2-3 juta? yang ini jelas rekomen,cari smartwatch 2-3 juta ? yang ini jelas rekomen
@GadgetIn,Gadgets,Cobain HP 20 JUTA baru dari Samsung Indonesia... - Galaxy S25 EDGE.,Cobain HP 20 JUTA baru dari Samsung Indonesia... - Galaxy S25 EDGE.,cobain hp 20 juta baru dari samsung indonesia... - galaxy s25 edge.,cobain hp 20 juta baru dari samsung indonesia . . . - galaxy s25 edge .
@GadgetIn,Gadgets,HP Gagah. Guanteng. GAMING!,HP Gagah. Guanteng. GAMING!,hp gagah. guanteng. gaming!,hp gagah . guanteng . gaming !
@GadgetIn,Gadgets,HP 3 jutaan bisa segila ini... - TECNO Camon 40 Pro 5G!,HP 3 jutaan bisa segila ini... - TECNO Camon 40 Pro 5G!,hp 3 jutaan bisa segila ini... - tecno camon 40 pro 5g!,hp 3 jutaan bisa segila ini . . . - tecno camon 40 pro 5g !
@GadgetIn,Gadgets,Kesaktian OPPO di dalam HP setipis ini...,Kesaktian OPPO di dalam HP setipis ini...,kesaktian oppo di dalam hp setipis ini...,kesaktian oppo di dalam hp setipis ini . . .
@GadgetIn,Gadgets,HP 4 Jutaan yang ALL IN soal GAMING!,HP 4 Jutaan yang ALL IN soal GAMING!,hp 4 jutaan yang all in soal gaming!,hp 4 jutaan yang all in soal gaming !
@GadgetIn,Gadgets,"Kalau mau beli TV, saya bakal PILIH YANG BEGINI.","Kalau mau beli TV, saya bakal PILIH YANG BEGINI.","kalau mau beli tv, saya bakal pilih yang begini.","kalau mau beli tv , saya bakal pilih yang begini ."
@GadgetIn,Gadgets,HP TERGILA yang dijual RESMI di INDONESIA! - Huawei Mate XT!,HP TERGILA yang dijual RESMI di INDONESIA! - Huawei Mate XT!,hp tergila yang dijual resmi di indonesia! - huawei mate xt!,hp tergila yang dijual resmi di indonesia ! - huawei mate xt !
@GadgetIn,Gadgets,Unboxing HP Termahal & Terbaik POCO - F7 ULTRA INDONESIA!,Unboxing HP Termahal Terbaik POCO - F7 ULTRA INDONESIA!,unboxing hp termahal terbaik poco - f7 ultra indonesia!,unboxing hp termahal terbaik poco - f7 ultra indonesia !
@GadgetIn,Gadgets,Andalan BARU ASUS di pasar LAPTOP GAMING MURAH!,Andalan BARU ASUS di pasar LAPTOP GAMING MURAH!,andalan baru asus di pasar laptop gaming murah!,andalan baru asus di pasar laptop gaming murah !
@GadgetIn,Gadgets,Selalu PALING KENCENG 🔥 - Review POCO F7 Pro Indonesia!,Selalu PALING KENCENG - Review POCO F7 Pro Indonesia!,selalu paling kenceng - review poco f7 pro indonesia!,selalu paling kenceng - review poco f7 pro indonesia !
@GadgetIn,Gadgets,Sebelum anda beli Samsung Galaxy A56/ Galaxy A36...,Sebelum anda beli Samsung Galaxy A56/ Galaxy A36...,sebelum anda beli samsung galaxy a56/ galaxy a36...,sebelum anda beli samsung galaxy a56/ galaxy a36 . . .
@GadgetIn,Gadgets,Anti Gagal - Review Samsung Galaxy A56 Indonesia!,Anti Gagal - Review Samsung Galaxy A56 Indonesia!,anti gagal - review samsung galaxy a56 indonesia!,anti gagal - review samsung galaxy a56 indonesia !
@GadgetIn,Gadgets,UNBOXING HP GAMING 21 JUTA!!! Asus RoG Phone 9 Pro Edition!,UNBOXING HP GAMING 21 JUTA!!! Asus RoG Phone 9 Pro Edition!,unboxing hp gaming 21 juta!!! asus rog phone 9 pro edition!,unboxing hp gaming 21 juta ! ! ! asus rog phone 9 pro edition !
@GadgetIn,Gadgets,Rekomendasi HP TERBAIK buat LEBARAN 2025!,Rekomendasi HP TERBAIK buat LEBARAN 2025!,rekomendasi hp terbaik buat lebaran 2025!,rekomendasi hp terbaik buat lebaran 2025 !
@GadgetIn,Gadgets,HP 2 JUTAAN lagi bagus2nya 😭 Unboxing TECNO Camon 40 Indonesia!,HP 2 JUTAAN lagi bagus2nya Unboxing TECNO Camon 40 Indonesia!,hp 2 jutaan lagi bagus2nya unboxing tecno camon 40 indonesia!,hp 2 jutaan lagi bagus2nya unboxing tecno camon 40 indonesia !
@GadgetIn,Gadgets,"setipis ini, tapi SEBADAK itu 🤤 - Unboxing Honor X9c Indonesia!","setipis ini, tapi SEBADAK itu - Unboxing Honor X9c Indonesia!","setipis ini, tapi sebadak itu - unboxing honor x9c indonesia!","setipis ini , tapi sebadak itu - unboxing honor x9c indonesia !"
@GadgetIn,Gadgets,Nerusin resep HP juara - Review vivo V50 Indonesia!,Nerusin resep HP juara - Review vivo V50 Indonesia!,nerusin resep hp juara - review vivo v50 indonesia!,nerusin resep hp juara - review vivo v50 indonesia !
@GadgetIn,Gadgets,KASTA TERTINGGI HP XIAOMI! Unboxing Xiaomi 15 Ultra RESMI Indonesia!,KASTA TERTINGGI HP XIAOMI! Unboxing Xiaomi 15 Ultra RESMI Indonesia!,kasta tertinggi hp xiaomi! unboxing xiaomi 15 ultra resmi indonesia!,kasta tertinggi hp xiaomi ! unboxing xiaomi 15 ultra resmi indonesia !
@GadgetIn,Gadgets,"Sebelum anda beli ""iPhone Murah"" iPhone 16e...","Sebelum anda beli ""iPhone Murah"" iPhone 16e...","sebelum anda beli ""iphone murah"" iphone 16e...","sebelum anda beli "" iphone murah "" iphone 16e . . ."
@GadgetIn,Gadgets,Rp3 JUTA DAPET HP SEGILA INI - Unboxing Infinix Note 50 Pro Indonesia!,Rp3 JUTA DAPET HP SEGILA INI - Unboxing Infinix Note 50 Pro Indonesia!,rp3 juta dapet hp segila ini - unboxing infinix note 50 pro indonesia!,rp3 juta dapet hp segila ini - unboxing infinix note 50 pro indonesia !
@GadgetIn,Gadgets,mini MONSTER - Review Xiaomi 15 Indonesia!,mini MONSTER - Review Xiaomi 15 Indonesia!,mini monster - review xiaomi 15 indonesia!,mini monster - review xiaomi 15 indonesia !
@GadgetIn,Gadgets,Akhirnya SAH LEGAL! Review iPhone 16 & 16 Pro Indonesia!,Akhirnya SAH LEGAL! Review iPhone 16 16 Pro Indonesia!,akhirnya sah legal! review iphone 16 16 pro indonesia!,akhirnya sah legal ! review iphone 16 16 pro indonesia !
@GadgetIn,Gadgets,UDAH BANG UDAH 😭! Review POCO X7 Pro Indonesia!,UDAH BANG UDAH ! Review POCO X7 Pro Indonesia!,udah bang udah ! review poco x7 pro indonesia!,udah bang udah ! review poco x7 pro indonesia !
@GadgetIn,Gadgets,Durasi yang sesuai buat kembalinya sang LEGENDA - Moto G45 5G Indonesia!,Durasi yang sesuai buat kembalinya sang LEGENDA - Moto G45 5G Indonesia!,durasi yang sesuai buat kembalinya sang legenda - moto g45 5g indonesia!,durasi yang sesuai buat kembalinya sang legenda - moto g45 5g indonesia !
@GadgetIn,Gadgets,Selalu lebih murah! Unboxing POCO X7 5G Indonesia!,Selalu lebih murah! Unboxing POCO X7 5G Indonesia!,selalu lebih murah! unboxing poco x7 5g indonesia!,selalu lebih murah ! unboxing poco x7 5g indonesia !
@GadgetIn,Gadgets,Santai pun tetep MENANG - Review Samsung S25 ULTRA Indonesia!,Santai pun tetep MENANG - Review Samsung S25 ULTRA Indonesia!,santai pun tetep menang - review samsung s25 ultra indonesia!,santai pun tetep menang - review samsung s25 ultra indonesia !
@GadgetIn,Gadgets,HP JEPANG TERBAIK YANG PERNAH SAYA COBA 😳🔥,HP JEPANG TERBAIK YANG PERNAH SAYA COBA,hp jepang terbaik yang pernah saya coba,hp jepang terbaik yang pernah saya coba
@GadgetIn,Gadgets,7 JUTA!!! LAPTOP LOKAL berani ngasih SPEK SEBAGUS INI 😭 - Axioo Hype R3 OLED,7 JUTA!!! LAPTOP LOKAL berani ngasih SPEK SEBAGUS INI - Axioo Hype R3 OLED,7 juta!!! laptop lokal berani ngasih spek sebagus ini - axioo hype r3 oled,7 juta ! ! ! laptop lokal berani ngasih spek sebagus ini - axioo hype r3 oled
@GadgetIn,Gadgets,HP 2 JUTA yang bikin KAGUM SEPANJANG VIDEO 🤩,HP 2 JUTA yang bikin KAGUM SEPANJANG VIDEO,hp 2 juta yang bikin kagum sepanjang video,hp 2 juta yang bikin kagum sepanjang video
@GadgetIn,Gadgets,HP 5G bagus di Rp3.1 JUTA 👌🏻 - Review Redmi Note 14 5G,HP 5G bagus di Rp3.1 JUTA - Review Redmi Note 14 5G,hp 5g bagus di rp3.1 juta - review redmi note 14 5g,hp 5g bagus di rp3.1 juta - review redmi note 14 5g
@GadgetIn,Gadgets,"SEGERRRR! Nyobain HP 20JUTA+ Samsung BARU, Galaxy S25 Series!","SEGERRRR! Nyobain HP 20JUTA+ Samsung BARU, Galaxy S25 Series!","segerrrr! nyobain hp 20juta+ samsung baru, galaxy s25 series!","segerrrr ! nyobain hp 20juta+ samsung baru , galaxy s25 series !"
@GadgetIn,Gadgets,Rp2.5 JUTA! Unboxing Redmi Note 14 4G Indonesia!,Rp2.5 JUTA! Unboxing Redmi Note 14 4G Indonesia!,rp2.5 juta! unboxing redmi note 14 4g indonesia!,rp2.5 juta ! unboxing redmi note 14 4g indonesia !
@GadgetIn,Gadgets,OPPO mulai berubah... - Review Reno13 5G Indonesia!,OPPO mulai berubah... - Review Reno13 5G Indonesia!,oppo mulai berubah... - review reno13 5g indonesia!,oppo mulai berubah . .. - review reno13 5g indonesia !
@GadgetIn,Gadgets,Let's GOOO! Review Redmi Note 14 Pro 5G Indonesia!,Let's GOOO! Review Redmi Note 14 Pro 5G Indonesia!,let's gooo! review redmi note 14 pro 5g indonesia!,let's gooo ! review redmi note 14 pro 5g indonesia !
@GadgetIn,Gadgets,Flagship vivo yang lebih murah.,Flagship vivo yang lebih murah.,flagship vivo yang lebih murah.,flagship vivo yang lebih murah .
@GadgetIn,Gadgets,HP gila pembuka 2025... vivo X200 Pro Indonesia!,HP gila pembuka 2025... vivo X200 Pro Indonesia!,hp gila pembuka 2025... vivo x200 pro indonesia!,hp gila pembuka 2025 . . . vivo x200 pro indonesia !
@GadgetIn,Gadgets,RASANYA UNBOXING MYSTERY BOX di 2024 🙂,RASANYA UNBOXING MYSTERY BOX di 2024,rasanya unboxing mystery box di 2024,rasanya unboxing mystery box di 2024
@GadgetIn,Gadgets,Cuma Samsung yang berani bikin HP begini - Galaxy A16 4G,Cuma Samsung yang berani bikin HP begini - Galaxy A16 4G,cuma samsung yang berani bikin hp begini - galaxy a16 4g,cuma samsung yang berani bikin hp begini - galaxy a16 4g
@GadgetIn,Gadgets,Berani beraninya realme bikin HP 2 jutaan kayak gini... - Review realme C75 Indonesia!,Berani beraninya realme bikin HP 2 jutaan kayak gini... - Review realme C75 Indonesia!,berani beraninya realme bikin hp 2 jutaan kayak gini... - review realme c75 indonesia!,berani beraninya realme bikin hp 2 jutaan kayak gini . . . - review realme c75 indonesia !
@GadgetIn,Gadgets,Rekomendasi HP TERBAIK buat AKHIR TAHUN 2024!,Rekomendasi HP TERBAIK buat AKHIR TAHUN 2024!,rekomendasi hp terbaik buat akhir tahun 2024!,rekomendasi hp terbaik buat akhir tahun 2024 !
@GadgetIn,Gadgets,"Bukan termahal, tapi jadi HP terbaik OPPO versi kami.","Bukan termahal, tapi jadi HP terbaik OPPO versi kami.","bukan termahal, tapi jadi hp terbaik oppo versi kami.","bukan termahal , tapi jadi hp terbaik oppo versi kami ."
